steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
339.51533333333333,294.0,273.0489561077932,1.0,1533.0,15.986666666666666,14.0,13.145436047879466,0.0,63.0,6557068047244130.0,139178.55158437055,2.3821657704742538e+17,2.0,9.22337203685745e+18
328.196,266.0,257.3207989727997,1.0,1183.0,15.356,13.0,12.658327851655605,0.0,52.0,7654321351458.844,113890.70061611957,143507035140001.5,2.0,4503599629243259.0
336.5826666666667,289.5,276.06425429518316,1.0,1305.0,15.964666666666666,14.0,13.266426982759484,0.0,58.0,263248242865610.5,140234.99203747066,7684690827443641.0,2.0,2.882303761539955e+17
315.984,258.5,272.08466282390856,1.0,1536.0,14.863333333333333,12.0,13.091294393179343,0.0,59.0,415774361513268.56,93328.12096435374,1.4888691285678976e+16,2.0,5.764607523058225e+17
262.17133333333334,180.0,266.3746396429076,1.0,1296.0,12.06,7.0,12.947293153396968,0.0,58.0,543952733452450.3,29171.873306610178,1.1230691385506242e+16,2.0,2.882303761540302e+17
305.33933333333334,231.0,267.59815928531515,1.0,1466.0,14.304,11.0,12.87735417959243,0.0,69.0,3.936400705508719e+17,76010.15234225224,1.5236288381488083e+19,2.0,5.902958103587089e+20
384.80333333333334,331.5,318.7062858739306,1.0,1490.0,18.074,16.0,15.096197887768518,0.0,56.0,152179356491978.06,225577.55180904537,2275390730970624.5,2.0,7.205759404010888e+16
382.5726666666667,319.0,307.55363876819206,1.0,1410.0,18.013333333333332,16.0,14.51348185500487,0.0,59.0,486029688525756.44,224317.19401095982,1.5007496286721432e+16,2.0,5.764607523057684e+17
412.31466666666665,337.0,333.1294477900278,1.0,1373.0,19.334666666666667,16.0,15.487198957705541,0.0,60.0,1449087619954155.2,226813.11330658037,3.1427619238115748e+16,2.0,1.152921504609301e+18
391.79466666666667,293.0,327.58290223731495,1.0,1540.0,18.249333333333333,14.0,15.282468154355463,0.0,62.0,3226714782317179.0,139683.6562358528,1.1903919968217147e+17,2.0,4.611686018429969e+18
408.0493333333333,322.5,323.45513892896423,1.0,1430.0,18.901333333333334,14.5,15.040155081942768,0.0,59.0,748358163005877.1,154686.73855375324,1.5958807076383988e+16,2.0,5.764607523057635e+17
392.414,311.5,345.9476144408765,1.0,1467.0,18.295333333333332,14.5,16.06740317813955,0.0,60.0,1826164895305445.0,154471.2578251143,3.5144629467332676e+16,2.0,1.152921504609266e+18
413.2393333333333,325.5,344.51582941797545,1.0,1521.0,19.28,16.0,15.874936220344319,0.0,62.0,5201691842253175.0,224952.1802570913,1.2422098835826896e+17,2.0,4.611686018430004e+18
