gen_name,steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
gen_1493_0,1812.0,1812.0,0.0,1812.0,1812.0,69.0,69.0,0.0,69.0,69.0,5.902958103587089e+20,5.902958103587089e+20,0.0,5.902958103587089e+20,5.902958103587089e+20
gen_1493_1,1109.6066666666666,1072.5,832.524649458234,8.0,2522.0,46.22,48.0,35.27017058837869,0.0,97.0,1.2326038651779983e+28,351843722426273.1,4.001714964708074e+28,9.0,1.5845632502852868e+29
gen_1493_2,976.0266666666666,599.0,836.9679957773509,17.0,2374.0,39.56666666666667,26.5,34.97035252260914,0.0,97.0,9.74414502085245e+27,151448784.51488215,3.759083492392956e+28,18.0,1.5845632502852868e+29
gen_1493_3,1047.8533333333332,953.5,818.4279922442101,19.0,2625.0,43.70666666666666,37.5,35.02124053897704,0.0,97.0,1.1686047223468353e+28,206159360767.86652,3.957157317404466e+28,20.0,1.5845632502852868e+29
gen_1493_4,933.26,663.0,813.4541694117336,18.0,2294.0,38.52,27.0,35.25218101999742,0.0,97.0,9.143875460853555e+27,168235496.96240622,3.564401461582066e+28,20.0,1.5845632502852868e+29
gen_1493_5,1020.0133333333333,732.5,774.9385006710031,15.0,2467.0,41.93333333333333,30.0,33.4569707069975,0.0,97.0,1.0493179176889093e+28,1074332213.774764,3.809764106265751e+28,20.0,1.5845632502852868e+29
gen_1493_6,1014.0133333333333,822.0,843.8350943690888,19.0,2400.0,41.593333333333334,35.5,35.53216320775056,0.0,97.0,1.224532135286408e+28,51540441608.443726,4.138254665040539e+28,20.0,1.5845632502852868e+29
gen_1493_7,1060.0933333333332,1202.0,758.5982717852418,6.0,2371.0,43.54666666666667,48.0,32.71077022769242,0.0,97.0,8.717203224695502e+27,281474978235162.5,3.5583787606419272e+28,7.0,1.5845632502852868e+29
gen_1493_8,1166.6866666666667,1288.5,749.6758689519685,7.0,2535.0,48.193333333333335,49.0,33.29878809940219,0.0,97.0,1.8213806577639645e+28,562949955020158.9,5.016793010055801e+28,8.0,1.5845632502852868e+29
gen_1493_9,1009.84,839.5,826.5084962660699,7.0,2688.0,41.20666666666666,34.0,35.03280304070584,0.0,97.0,1.4535658234616544e+28,17180617471.38501,4.460159025984776e+28,8.0,1.5845632502852868e+29
gen_1493_10,1032.34,794.0,837.6651186880512,19.0,2650.0,42.693333333333335,33.0,36.823533537973,0.0,97.0,1.8978734425927665e+28,8590643304.322744,5.006599352489907e+28,20.0,1.5845632502852868e+29
gen_1493_11,976.1866666666666,656.5,809.6165296951117,7.0,2582.0,39.973333333333336,24.5,35.39226783101392,0.0,97.0,1.4237757678861695e+28,25548419.28139536,4.455929110943165e+28,8.0,1.5845632502852868e+29
gen_1493_12,983.9933333333333,630.5,788.1805588118049,7.0,2686.0,39.14,27.0,32.166033845243234,0.0,97.0,5.611774801944542e+27,168244653.248978,2.8445747269277584e+28,8.0,1.5845632502852868e+29
gen_1493_13,1128.9866666666667,1017.0,838.0082735205476,7.0,2455.0,45.99333333333333,44.0,35.248545438862514,0.0,97.0,1.7738443897811939e+28,17592187333316.562,4.886890084799563e+28,8.0,1.5845632502852868e+29
gen_1493_14,1168.4266666666667,1339.0,783.7953673986314,10.0,2447.0,49.32,52.0,35.31691190728129,0.0,97.0,2.4990906759924982e+28,5629499536018857.0,5.717184929644152e+28,11.0,1.5845632502852868e+29
gen_1493_15,1083.3266666666666,665.0,862.8939332012687,10.0,2717.0,44.38,29.0,36.76169564460631,0.0,97.0,2.6835729835610315e+28,537413507.3436217,5.8960789076286065e+28,11.0,1.5845632502852868e+29
gen_1493_16,1077.82,835.5,822.482511019738,18.0,2684.0,45.50666666666667,37.5,36.32827120699372,0.0,97.0,2.653964792502802e+28,206159342417.5556,5.80497135788536e+28,20.0,1.5845632502852868e+29
gen_1493_17,1197.4666666666667,1326.5,860.1748866105983,10.0,2677.0,49.75333333333333,53.0,36.78368056020979,0.0,97.0,2.781078948304444e+28,9007199256586412.0,5.985702959466674e+28,11.0,1.5845632502852868e+29
gen_1493_18,1299.4466666666667,1609.5,825.3621874600803,19.0,2627.0,55.10666666666667,66.0,36.440846434857804,0.0,97.0,3.7779148715114184e+28,7.378697629484116e+19,6.669983472182712e+28,20.0,1.5845632502852868e+29
gen_1493_19,1111.9333333333334,990.0,824.1917225716087,21.0,2721.0,46.17333333333333,40.5,35.739380085402836,0.0,97.0,2.5145933756464103e+28,1649268505440.52,5.712447840059615e+28,22.0,1.5845632502852868e+29
gen_1493_20,1177.9733333333334,1266.0,855.9742671106156,19.0,2485.0,50.2,48.0,38.454301883317726,0.0,97.0,3.8783733131644827e+28,281474978207748.9,6.742207946188627e+28,20.0,1.5845632502852868e+29
gen_1493_21,1120.0133333333333,910.5,833.2658558280717,19.0,2648.0,47.74666666666667,37.0,37.18981700531597,0.0,97.0,3.606412185341205e+28,137439844424.27237,6.626843142885694e+28,40.0,1.5845632502852868e+29
gen_1493_22,1194.2933333333333,1203.0,822.5075444165982,19.0,2583.0,50.346666666666664,46.5,37.096268755166676,0.0,97.0,3.7662644219311944e+28,105553117710949.0,6.695455703175507e+28,20.0,1.5845632502852868e+29
gen_1493_23,1220.88,1239.0,883.7792403083475,5.0,2756.0,50.36666666666667,47.5,38.35994728301325,0.0,97.0,3.682513672614204e+28,316659350307161.9,6.604563806905509e+28,6.0,1.5845632502852868e+29
gen_1493_24,1213.9733333333334,1323.0,824.8138209856143,15.0,2683.0,51.68666666666667,49.0,37.241578317192136,0.0,97.0,3.7272845867236406e+28,703687443361610.5,6.609323686174229e+28,102.0,1.5845632502852868e+29
gen_1493_25,1359.18,1743.0,821.6509402416575,7.0,2630.0,57.81333333333333,73.0,37.25701485030109,0.0,97.0,4.808627279179992e+28,9.444732965739295e+21,7.233668432541762e+28,8.0,1.5845632502852868e+29
gen_1493_26,1371.0933333333332,1690.5,810.2776178295655,19.0,2770.0,58.79333333333334,73.0,36.95931035912632,0.0,97.0,4.7655562900932655e+28,9.444732965739295e+21,7.161344392315672e+28,38.0,1.5845632502852868e+29
gen_1493_27,1406.3066666666666,1830.0,821.2009088050393,6.0,2673.0,60.81333333333333,77.5,37.793894862647974,0.0,97.0,5.611645474118224e+28,2.2667359117774297e+23,7.473159888741206e+28,7.0,1.5845632502852868e+29
gen_1493_28,1212.4666666666667,1184.5,809.3453870601571,7.0,2523.0,52.973333333333336,47.5,38.00420093738176,0.0,97.0,5.01391990056643e+28,211106234013304.3,7.324964044070076e+28,8.0,1.5845632502852868e+29
gen_1493_29,1361.16,1783.5,815.7975408968412,19.0,2615.0,59.00666666666667,74.0,37.82071683908466,0.0,97.0,5.317301910521943e+28,1.8889465931478585e+22,7.376769294631395e+28,20.0,1.5845632502852868e+29
gen_1493_30,1457.9466666666667,1828.0,794.056553709425,7.0,2470.0,63.94,89.0,37.10889021964054,0.0,97.0,6.67538667887669e+28,6.189700196426902e+26,7.733514194558801e+28,8.0,1.5845632502852868e+29
gen_1493_31,1449.3866666666668,1795.5,760.8349605239994,6.0,2514.0,62.96,78.0,35.09147664794591,0.0,97.0,5.141840792430236e+28,3.022314549036573e+23,7.3518484043280846e+28,7.0,1.5845632502852868e+29
gen_1493_32,1253.7466666666667,1498.0,838.1950145931966,7.0,2601.0,54.78,59.5,38.89539304339269,0.0,97.0,5.182588675556256e+28,2.377900603254017e+18,7.352017463982512e+28,8.0,1.5845632502852868e+29
gen_1493_33,1304.4,1575.0,804.0898871809461,7.0,2617.0,56.586666666666666,60.0,37.082104698747735,0.0,97.0,5.272427166585986e+28,1.441151880760941e+18,7.399719334509555e+28,8.0,1.5845632502852868e+29
gen_1493_34,1421.0533333333333,1830.0,813.0909566722669,9.0,2554.0,61.72666666666667,76.0,37.278035832854115,0.0,97.0,6.064288917902895e+28,9.44473296573929e+22,7.661465583503324e+28,10.0,1.5845632502852868e+29
gen_1493_35,1403.4866666666667,1713.5,809.0931692264426,6.0,2584.0,61.50666666666667,74.5,37.25099491587067,0.0,97.0,7.038103324223795e+28,2.833419889721788e+22,7.8349677842366065e+28,7.0,1.5845632502852868e+29
gen_1493_36,1413.48,1806.5,821.4877700043176,19.0,2571.0,61.02,73.5,36.892902659816116,0.0,97.0,5.694945818655461e+28,1.416709944860894e+22,7.520368327145936e+28,20.0,1.5845632502852868e+29
gen_1493_37,1339.0066666666667,1565.5,851.9075184288231,19.0,2530.0,56.82,55.5,37.800541442330335,0.0,97.0,5.823328833501756e+28,5.404319553048962e+16,7.626370786932821e+28,68.0,1.5845632502852868e+29
gen_1493_38,1382.88,1735.0,810.7822389108763,8.0,2720.0,59.63333333333333,69.5,36.5783937439698,0.0,97.0,6.153737466164178e+28,8.854437155380616e+20,7.702076462904644e+28,9.0,1.5845632502852868e+29
gen_1493_39,1181.8733333333332,1100.5,874.5897651407138,7.0,2465.0,50.24666666666667,42.0,39.55889055853592,0.0,97.0,4.867174030008347e+28,5497559282209.098,7.244266695711996e+28,8.0,1.5845632502852868e+29
gen_1493_40,1264.6133333333332,1463.0,849.9548049684106,7.0,2656.0,53.733333333333334,58.5,38.33912999650474,0.0,97.0,4.392833117365355e+28,4.323455642298724e+17,6.974149985410091e+28,8.0,1.5845632502852868e+29
gen_1493_41,1261.4,1487.0,822.5671846927357,7.0,2452.0,55.46,57.5,37.97992978754261,0.0,97.0,5.338828686939748e+28,3.242591731728774e+17,7.438838398613665e+28,8.0,1.5845632502852868e+29
gen_1493_42,1345.46,1800.0,857.6989419759516,7.0,2789.0,58.413333333333334,73.5,38.78662770709628,0.0,97.0,6.374633360809961e+28,2.125064917291341e+22,7.736805555033868e+28,8.0,1.5845632502852868e+29
gen_1493_43,1351.4733333333334,1761.0,827.9478542087592,7.0,2584.0,59.56666666666667,72.0,38.15117589566831,0.0,97.0,6.269197272628992e+28,5.902958103587061e+21,7.718087888808527e+28,8.0,1.5845632502852868e+29
gen_1493_44,1285.26,1586.0,816.7012626413651,6.0,2440.0,55.806666666666665,58.0,36.96244881257493,0.0,97.0,5.182061239471227e+28,2.882303761539329e+17,7.427582285383712e+28,7.0,1.5845632502852868e+29
gen_1493_45,1334.46,1617.5,833.7305930175128,7.0,2464.0,57.81333333333333,64.0,37.998488858842215,0.0,97.0,5.964405085180443e+28,7.493989779944779e+19,7.635343978951792e+28,8.0,1.5845632502852868e+29
gen_1493_46,1248.4466666666667,1615.5,851.8581770589645,7.0,2402.0,55.093333333333334,66.0,39.21570207058505,0.0,97.0,5.484918200050684e+28,9.223372036855069e+19,7.471224737408966e+28,8.0,1.5845632502852868e+29
gen_1493_47,1377.1733333333334,1549.5,759.7222277180581,19.0,2466.0,60.53333333333333,64.5,35.838464748863835,0.0,97.0,6.192177865337257e+28,2.7670116110567154e+19,7.6785834136858265e+28,102.0,1.5845632502852868e+29
gen_1493_48,1391.98,1765.5,788.3183068617227,7.0,2540.0,59.74,69.5,35.81516066323496,0.0,97.0,5.464372324534689e+28,8.854437155380616e+20,7.466782172020541e+28,8.0,1.5845632502852868e+29
gen_1493_49,1380.9333333333334,1736.0,765.1888713833265,19.0,2479.0,59.99333333333333,71.5,36.01527392031824,0.0,97.0,5.9627616919196545e+28,3.5417748621522376e+21,7.636814740487137e+28,20.0,1.5845632502852868e+29
gen_1493_50,1407.8866666666668,1804.0,822.4209671181515,7.0,2515.0,61.36,78.0,37.53136999009406,0.0,97.0,6.618861675391861e+28,3.022314549036573e+23,7.754395378889041e+28,24.0,1.5845632502852868e+29
gen_1493_51,1416.6666666666667,1757.5,802.7818189825234,7.0,2580.0,61.54,75.0,36.43782466979425,0.0,97.0,6.580996309864591e+28,4.722366482869645e+22,7.783144622777956e+28,8.0,1.5845632502852868e+29
gen_1493_52,1445.3133333333333,1803.5,762.991718056115,7.0,2630.0,64.08666666666667,76.5,35.574510850076656,0.0,97.0,6.917609591718079e+28,1.1333679558887149e+23,7.811769500870222e+28,8.0,1.5845632502852868e+29
gen_1493_53,1459.1066666666666,1876.0,796.8770975641238,7.0,2511.0,64.51333333333334,86.0,36.89656473018713,0.0,97.0,7.191749918603079e+28,9.671406556917033e+25,7.880743505970978e+28,8.0,1.5845632502852868e+29
gen_1493_54,1490.34,1826.5,763.7278383473177,8.0,2673.0,65.98666666666666,78.5,34.878070792723356,0.0,97.0,6.803415349464108e+28,4.5334718235548594e+23,7.807541664235971e+28,10.0,1.5845632502852868e+29
gen_1493_55,1355.3066666666666,1721.5,838.0912595230241,9.0,2550.0,59.07333333333333,70.5,37.807071061141755,0.0,97.0,6.140600136907655e+28,1.77088743107612e+21,7.706124110412117e+28,10.0,1.5845632502852868e+29
gen_1493_56,1268.84,1665.0,865.3980824260398,6.0,2612.0,54.766666666666666,63.5,39.05353874988653,0.0,97.0,5.819250938035941e+28,2.07525870829259e+19,7.629385845746352e+28,7.0,1.5845632502852868e+29
gen_1493_57,1563.0733333333333,1942.0,776.8031075861859,8.0,2577.0,67.51333333333334,89.0,34.954396321810826,0.0,97.0,7.36451872496572e+28,6.189700196426902e+26,7.842509237617897e+28,9.0,1.5845632502852868e+29
gen_1493_58,1476.0333333333333,1837.0,776.0821899486906,7.0,2540.0,63.13333333333333,74.5,35.20561823850784,0.0,97.0,6.18062672870008e+28,2.833419889721788e+22,7.683075284648701e+28,8.0,1.5845632502852868e+29
gen_1493_59,1527.0733333333333,1908.0,806.9024897443034,9.0,2700.0,65.45333333333333,80.0,35.94506672997314,0.0,97.0,6.896492540497058e+28,1.2089258196146292e+24,7.8283051784384915e+28,10.0,1.5845632502852868e+29
